Ano,Tipo de Energia,Produção de Energia (MWh),Consumo Residencial (MWh),Consumo Industrial (MWh),Percentual de Veículos Elétricos (%),Redução de Emissões de CO₂ (Milhões de Toneladas)
2010,Solar,1550.0797118292303,990.5689363553274,4769.895988399749,9.562286204662414,2.9651897445104813
2010,Eólica,1593.2322030567914,705.1323852973494,3801.3220149403805,6.45348861190439,4.333366029849569
2010,Hidroelétrica,4287.953187184992,863.577352333483,3204.5801907342484,2.228746195857628,4.046523208028751
2011,Solar,3580.495326580997,393.15550864312786,2882.4391292376818,1.4555111563852174,2.5358856861525765
2011,Eólica,3650.6034148723033,653.1527146204576,2131.3795645627765,9.330683916544873,1.0021138695029803
2011,Hidroelétrica,2341.3856173043623,745.397541186685,3134.957400916467,2.826724856466779,3.974007798009577
2012,Solar,1993.2581314540012,657.2469250986956,2199.221490648083,6.361541722341438,4.417086075740401
2012,Eólica,4169.765389478958,584.5703482350506,2819.7093109587136,1.4235943804573958,3.6841649911473913
2012,Hidroelétrica,4802.37639611341,850.2861991959779,4976.752454819214,9.416235449791321,1.0868896365630087
2013,Solar,4090.698182082794,801.3425691377498,2037.2490050309461,4.763990412693387,4.989803333571118
2013,Eólica,2185.7850107679337,406.0175409677905,3521.938162014675,4.75678918798475,4.791268368495329
2013,Hidroelétrica,1544.266624498881,583.6097064785965,2947.9004293954595,4.282437740891005,3.4682463971847293
2014,Solar,3562.1898444717426,918.1771003382195,4347.782575405539,3.1274691376848365,3.459746268779678
2014,Eólica,3952.3876586956267,812.2886861341595,2607.4864582273667,0.726666093684728,4.469503173275925
2014,Hidroelétrica,2996.4670907925693,575.5182001350915,3134.7012050945023,9.562286204662414,2.9651897445104813
2015,Solar,2661.101898579278,769.0736175826389,4173.979161828833,6.45348861190439,4.333366029849569
2015,Eólica,2631.10293261525,594.7684626025411,4735.6218831859605,2.228746195857628,4.046523208028751
2015,Hidroelétrica,2483.5391165884485,421.2859260475366,4437.9699168526,1.4555111563852174,2.5358856861525765
2016,Solar,2109.5741243462526,360.0600801214589,2421.979169098098,9.330683916544873,1.0021138695029803
2016,Eólica,1505.1876039549743,710.3196776972788,4840.4901396157675,2.826724856466779,3.974007798009577
2016,Hidroelétrica,4102.375303601571,716.1705786162319,4588.9241028440865,6.361541722341438,4.417086075740401
2017,Solar,1288.8541398275638,813.5828625502313,2156.4135511315894,1.4235943804573958,3.6841649911473913
2017,Eólica,1853.0396040901805,886.7269572793261,3234.606715774541,9.416235449791321,1.0868896365630087
2017,Hidroelétrica,4451.934513576469,463.57106364593676,4592.2521920841045,4.763990412693387,4.989803333571118
2018,Solar,2358.6359940926477,936.0043507297432,2334.553766149444,4.75678918798475,4.791268368495329
2018,Eólica,2283.8516038604353,686.8046884746731,2209.439587863818,4.282437740891005,3.4682463971847293
2018,Hidroelétrica,2179.209759340985,501.8208894660953,4778.870227820744,3.1274691376848365,3.459746268779678
2019,Solar,2530.4189437636396,426.8901420087818,2356.830149520396,0.726666093684728,4.469503173275925
2019,Eólica,1220.3839490607224,555.7740292739522,3156.6226690271656,9.562286204662414,2.9651897445104813
2019,Hidroelétrica,2372.25065877021,801.3640054238801,2704.1543900030865,6.45348861190439,4.333366029849569
2020,Solar,4424.602716826512,304.0356695299096,2133.809089889078,2.228746195857628,4.046523208028751
2020,Eólica,4543.316922990265,524.1715014134868,4632.247022927753,1.4555111563852174,2.5358856861525765
2020,Hidroelétrica,4993.655450635692,459.00494909414994,3707.425685860812,9.330683916544873,1.0021138695029803
2021,Solar,4122.375084944859,689.7779110881913,2257.063321978024,2.826724856466779,3.974007798009577
2021,Eólica,1434.3720002505038,907.5291422031916,4554.774532139697,6.361541722341438,4.417086075740401
2021,Hidroelétrica,4061.07792366909,641.664061411908,3664.700020844769,1.4235943804573958,3.6841649911473913
2022,Solar,3268.981875288335,393.1780397255724,2598.400648677004,9.416235449791321,1.0868896365630087
2022,Eólica,4949.15648199385,846.0481721436552,3703.2717239263375,4.763990412693387,4.989803333571118
2022,Hidroelétrica,2733.3866296645865,466.5823027250664,2287.7156121522576,4.75678918798475,4.791268368495329
2023,Solar,2480.775366087853,983.2084915883102,3698.19764270529,4.282437740891005,3.4682463971847293
2023,Eólica,1720.5631065602015,559.8354426352664,4094.6353386038368,3.1274691376848365,3.459746268779678
2023,Hidroelétrica,1212.7557561259819,622.1434606368475,3904.3130789232637,0.726666093684728,4.469503173275925
